iter	RMSE
154	0.1986921232
155	0.1978067572
156	0.1969454281
157	0.1961939367
158	0.1952885112
159	0.1942777872
160	0.193525376
161	0.1927822515
162	0.1914967995
163	0.1909066457
164	0.1900536226
165	0.1893629077
166	0.1887181277
167	0.1878441396
168	0.1872006599
169	0.1863877396
170	0.1854891278
171	0.1845867195
172	0.1836379839
173	0.1830285307
174	0.1823248544
175	0.1819284459
176	0.1810607411
177	0.1804436862
178	0.1798271839
179	0.1792193445
180	0.1785834202
181	0.1774942798
182	0.1771313175
183	0.1764925475
184	0.1756211304
185	0.1750201855
186	0.1745842617
187	0.1733932107
188	0.1728800462
189	0.1716461384
190	0.1711080948
191	0.1702900173
192	0.1695814386
193	0.1691442343
194	0.1686665203
195	0.1681362945
196	0.1674644728
197	0.1670548131
198	0.1666876004
199	0.1661105126
200	0.1657175241
201	0.1650816299
202	0.1644447741
203	0.1638011188
204	0.1630709651
205	0.1623598166
206	0.1619696979
207	0.1612704145
208	0.1607064067
209	0.1602658069
210	0.1596480579
211	0.159271349
212	0.1584621991
213	0.1579451708
214	0.1575656969
215	0.1571210665
216	0.1565925834
217	0.1560895932
218	0.155054172
219	0.1547167465
220	0.1537591684
221	0.1530018655
222	0.1522691561
223	0.1519186393
224	0.1515749986
225	0.1509122854
226	0.1503172424
227	0.1500421369
228	0.1497755298
229	0.1492757525
230	0.148842153
231	0.1483702284
232	0.1481662229
233	0.1478101116
234	0.1473704679
235	0.1469610785
236	0.1461545781
237	0.1459774545
238	0.1453083335
239	0.1447811578
240	0.1439840572
241	0.1433830858
242	0.1427197449
243	0.1426458262
244	0.1418592317
245	0.1414111874
246	0.1409610657
247	0.1406704189
248	0.1403243442
249	0.1400158702
250	0.1397283938
251	0.1396519962
252	0.1391224014
253	0.1390403336
254	0.138519113
255	0.1380697871
256	0.1373727287
257	0.1368188073
258	0.1364903687
259	0.1361164424
260	0.13585138
261	0.1355040058
262	0.1349601735
263	0.1346625717
264	0.1341535294
265	0.1338074569
266	0.1333069694
267	0.133238571
268	0.133164304
269	0.1325684176
270	0.1324214213
271	0.131864706
272	0.1315472728
273	0.1313507957
274	0.1308759062
275	0.1305260248
276	0.1300676387
277	0.1297431416
278	0.1294778787
279	0.1291487512
280	0.1288224225
281	0.1285088214
282	0.1280583458
283	0.1279084428
284	0.1275497611
285	0.1272540456
286	0.1267569506
287	0.1264736356
288	0.1264132633
289	0.1263548238
290	0.1259397204
291	0.1255876684
292	0.1252945197
293	0.1249848506
294	0.1249282244
295	0.1243933245
296	0.1240212627
297	0.1237833752
298	0.1234644309
299	0.1232214124
300	0.1228945623
301	0.1227341427
302	0.1225224941
303	0.1220847978
304	0.1220221073
305	0.1216885534
306	0.1213648938
307	0.1212199346
308	0.1208681428
309	0.1206702492
310	0.1204183935
311	0.1200938714
312	0.1196693906
313	0.1193645307
314	0.1190984032
315	0.1187979983
316	0.1186448231
317	0.1183924264
318	0.1182375886
319	0.1181010213
320	0.117903397
321	0.1176537603
322	0.1173950493
323	0.1171586933
324	0.1168757928
325	0.1166128962
326	0.1163850004
327	0.1160486402
328	0.1157848834
329	0.1153340733
330	0.1151148895
331	0.1148424412
332	0.1146377495
333	0.1145865876
334	0.1145373124
335	0.1143411231
336	0.1140246125
337	0.113975989
338	0.1136985911
339	0.1134517621
340	0.1132018793
341	0.1130747875
342	0.1128460883
343	0.1128000089
344	0.1125237011
345	0.1122101069
346	0.1119551513
347	0.1117524037
348	0.1114492202
349	0.1113379548
350	0.1112121297
351	0.111168951
352	0.1108732775
353	0.1107169604
354	0.1104972821
355	0.1102331126
356	0.1100186917
357	0.1099473681
358	0.1098816195
359	0.109819478
360	0.1095266466
361	0.1093089481
362	0.109024903
363	0.1087526995
364	0.1084873708
365	0.1084303694
366	0.1082193569
367	0.108178605
368	0.1080226059
369	0.1079833749
370	0.1077686968
371	0.1075885463
372	0.1073780834
373	0.1071135378
374	0.1068798201
375	0.1068417168
376	0.106727692
377	0.1066943463
378	0.1064676407
379	0.1064204326
380	0.1063197481
381	0.1061190541
382	0.1059553397
383	0.1057336409
384	0.1057009023
385	0.1055209067
386	0.1054859356
387	0.1054550041
388	0.1054220804
389	0.1052745645
390	0.1051000212
391	0.1048238239
392	0.1045518074
393	0.1042871195
394	0.1041308742
395	0.1039306514
396	0.1038964816
397	0.1037053981
398	0.1035206985
399	0.1034890398
